KOI,KOIpl,kepoi_name,Sep,Teff1,Teff2,Rstar1,Rstar2,Mstar1_est,Mstar2_est,Rppri,Rpsec,koi_period,koi_dor,koi_duration,koi_impact,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec,usable
1835,1835.02,K01835.02,0.05,5158,5127,0.772,0.765824,0.7236385,0.7164093,1.23,1.26,2.248288213,8.578,2.0361,0.004,1.6776038820854204,0.159585540660026,1.5727863,1.5950499,0.4933712460553202,0.5066287539446799,True
1835,1835.03,K01835.03,0.05,5158,5127,0.772,0.765824,0.7236385,0.7164093,1.29,1.31,6.76690759,23.7,1.7062,0.648,3.9057083533315375,4.152905084555052,1.5727863,1.5950499,0.4992495783519536,0.5007504216480465,True
1839,1839.01,K01839.01,0.11,5487,3951,0.815,0.5216,0.77436733,0.44327372,3.98,10.13,9.59068586,20.31,3.452,0.359,1.2236739145077309,0.9941220871185407,1.430455,3.1236272,0.8136182316022424,0.18638176839775758,True
1839,1839.02,K01839.02,0.11,5487,3951,0.815,0.5216,0.77436733,0.44327372,4.99,12.72,80.4103783,82.7,3.487,0.913,1.1752427535105268,1.7308895692573418,1.430455,3.1236272,0.6409729310300046,0.35902706896999537,True
1841,1841.01,K01841.01,0.31,5367,3709,0.808,0.434704,0.76606256,0.35297346,2.0,5.93,49.6075771,87.7,2.9575,0.764,3.6824597788613036,4.648213198631086,1.4522123,4.296958,0.473454565029601,0.526545434970399,True
1845,1845.01,K01845.01,1.99,4933,3414,0.756,0.312228,0.70494014,0.23339406,3.86,12.7,1.970340203,4.74,1.7901,0.859,0.3685427323788439,0.5131607666034534,1.6314993,7.667862,0.999999400376371,5.996236289515329e-07,True
1845,1845.02,K01845.02,1.99,4933,3414,0.756,0.312228,0.70494014,0.23339406,10.4,34.05,5.05821338,11.53,1.132,1.004,0.8048758445212875,1.1937013825944507,1.6314993,7.667862,0.9997613773865694,0.00023862261343052165,True
1853,1853.01,K01853.01,0.96,6327,6141,1.162,1.084146,1.2064453,1.1062664,2.32,2.47,60.0853848,42.4,7.007,0.79,0.283658067686024,0.42147307226932806,0.7689344,0.8681532,0.5649162772112651,0.43508372278873486,True
1857,1857.01,K01857.01,0.16,6121,4759,1.068,0.711288,1.0857105,0.653216,3.14,5.67,88.6440015,62.8,7.82,0.724,0.4234630199330228,0.6230570548059126,0.8912517,1.815183,0.8611929553761738,0.13880704462382618,True
1890,1890.01,K01890.01,0.41,6603,4486,1.348,0.66591203,1.4524875,0.6015491,1.5,3.8,4.33643506,6.29,4.1445,0.641,0.1777958035563414,0.23743795705457355,0.5929836,2.0371382,0.9999629194856643,3.708051433576421e-05,True
1899,1899.01,K01899.01,1.84,6094,5501,1.109,0.97259295,1.1380581,0.96585935,2.52,3.15,19.76169247,16.87,3.9097,0.924,0.1651704068908303,0.24379034567763333,0.8343914,1.0498338,0.8407570056520516,0.15924299434794842,True
1899,1899.02,K01899.02,1.84,6094,5501,1.109,0.97259295,1.1380581,0.96585935,0.98,1.23,10.5226374,12.63,3.864,0.806,0.24445341296128148,0.3658091452864782,0.8343914,1.0498338,0.7069419993436633,0.29305800065633664,True
1900,1900.01,K01900.01,0.1,4745,4418,0.705,0.65283,0.64600575,0.58681357,1.82,2.25,5.18498961,18.865,2.1397,0.021,3.35513432164762,0.26197258710770976,1.84361,2.109113,0.036561370998791295,0.9634386290012087,True
1906,1906.01,K01906.01,0.52,5823,3656,0.957,0.41629502,0.9465421,0.33438864,3.51,13.24,8.710442022,32.3,0.9425,0.935,5.967087994087435,8.922921056174092,1.0799512,4.63498,0.46533945779583313,0.5346605422041669,True
1908,1908.01,K01908.01,1.27,4413,3248,0.649,0.226501,0.58251333,0.15625635,1.27,3.68,12.55111099,26.94,3.1293,0.519,1.6674917657333417,1.5597918521336382,2.1309428,13.447059,0.9999757948400354,2.4205159964666655e-05,True
1908,1908.02,K01908.02,1.27,4413,3248,0.649,0.226501,0.58251333,0.15625635,1.1,3.19,24.0884178,44.0,3.952,0.376,1.972317113867106,2.2995424532132396,2.1309428,13.447059,0.9991193711605144,0.0008806288394855653,True
1916,1916.01,K01916.01,0.27,6295,5149,1.146,0.77813405,1.1857163,0.7308328,2.45,3.87,20.67876365,26.2,4.6395,0.665,0.56505405915293,0.6987691418532418,0.7878198,1.5511535,0.6999272403350801,0.3000727596649198,True
1916,1916.02,K01916.02,0.27,6295,5149,1.146,0.77813405,1.1857163,0.7308328,2.09,3.31,9.59993246,17.2,4.3206,0.063,0.7417955941635843,0.1293829524703926,0.7878198,1.5511535,0.9899156292513687,0.010084370748631371,True
1916,1916.03,K01916.03,0.27,6295,5149,1.146,0.77813405,1.1857163,0.7308328,1.02,1.59,2.0248205,5.954,2.55,0.248,0.6916536874795196,0.21711466944897923,0.7878198,1.5511535,0.9726552553512903,0.027344744648709632,True
1961,1961.01,K01961.01,0.04,5510,5360,0.834,0.790632,0.7969986,0.7455349,0.88,0.95,1.907810683,7.22,1.8707,0.41,1.3892368801224773,1.5585621508299263,1.3739136,1.5084982,0.5007049313047846,0.49929506869521545,True
1962,1962.01,K01962.01,0.12,6245,6144,1.121,1.06495,1.153472,1.0818362,2.5,2.59,32.85862571,27.4,3.1483,0.955,0.2559694655403858,0.3811516129214504,0.8188232,0.89572334,0.5659069284872698,0.4340930715127302,True
1964,1964.01,K01964.01,0.39,5792,3995,0.883,0.54657704,0.8559549,0.4699636,0.53,1.48,2.229326354,8.35,1.9946,0.249,1.5737922063898488,1.0177817861682854,1.2432795,2.8781278,0.6558706387477717,0.34412936125222826,True
1972,1972.01,K01972.01,1.05,6322,5690,1.158,0.896292,1.2012564,0.8720912,3.0,3.78,17.79108667,39.9,2.662,0.654,2.696180729461819,2.7975409072611357,0.77358854,1.2111931,0.47615469379671505,0.523845306203285,True
1972,1972.02,K01972.02,1.05,6322,5690,1.158,0.896292,1.2012564,0.8720912,1.03,1.31,1.226223959,4.388,2.1689,0.005,0.7549106038430223,0.11457850094791541,0.77358854,1.2111931,0.9046307291725212,0.09536927082747891,True
1977,1977.01,K01977.01,0.08,4583,4436,0.677,0.65533596,0.6140954,0.5896306,2.37,2.61,9.38740646,17.44,1.6165,0.946,0.8086925843735094,1.2102566773020984,1.9791095,2.095019,0.5220029771168657,0.47799702288313417,True
1977,1977.02,K01977.02,0.08,4583,4436,0.677,0.65533596,0.6140954,0.5896306,1.11,1.22,7.41556471,26.2,1.973,0.434,4.3939051726088305,5.483996150546137,1.9791095,2.095019,0.49772805240659973,0.5022719475934003,True
1979,1979.01,K01979.01,0.78,6215,4525,1.103,0.654079,1.1303668,0.58821726,1.18,2.55,2.714078374,8.31,1.3115,0.868,1.046630933335929,1.4735958989206217,0.8423504,2.1020696,0.5586604050199068,0.44133959498009323,True
1989,1989.01,K01989.01,0.89,5817,3642,0.932,0.3961,0.9157351,0.3142361,2.17,8.32,201.118319,152.01,10.328,0.001,1.1666712081485036,0.05295724844565932,1.1311551,5.0564013,0.9999978856685735,2.1143314265370266e-06,True
1996,1996.01,K01996.01,0.21,5296,3997,0.799,0.616029,0.7554113,0.5457597,2.56,5.61,10.13200555,25.09,3.1683,0.03,2.0670282393284634,0.4201611805729439,1.4809593,2.3345218,0.3450866207153568,0.6549133792846431,True
1996,1996.02,K01996.02,0.21,5296,3997,0.799,0.616029,0.7554113,0.5457597,1.29,2.82,7.07394528,22.73,2.319,0.277,3.1528998734651794,3.0793830704323355,1.4809593,2.3345218,0.47208681076696474,0.5279131892330352,True
2002,2002.01,K02002.01,0.24,6223,4402,1.115,0.64893,1.1457598,0.58243483,2.29,5.41,14.37504582,14.39,3.208,0.927,0.19373102242136025,0.28675960928248595,0.8265497,2.131345,0.9997043982201999,0.00029560177980013017,True
2009,2009.01,K02009.01,1.51,6025,3748,1.025,0.45305,1.031347,0.37169152,2.08,7.72,86.7490807,73.73,9.179,0.003,0.7155470628171097,0.055318299987217205,0.9577083,3.9970934,0.9999987771533106,1.2228466892679659e-06,True
2048,2048.01,K02048.01,1.9,5346,3769,0.792,0.465696,0.74714774,0.38470528,1.91,5.32,6.17998508,22.6,2.1094,0.175,4.060558093649573,1.67093762260801,1.5039415,3.8090844,0.24242465311134734,0.7575753468886526,True
2058,2058.01,K02058.01,0.29,4021,3209,0.584,0.219,0.51052386,0.14981495,1.25,2.85,1.52373073,3.28,1.4796,0.942,0.2041927614654478,0.2988186753152895,2.5631707,14.2633915,0.9999207659851908,7.923401480931126e-05,True
2059,2059.01,K02059.01,0.38,5125,4739,0.786,0.76635003,0.74007916,0.71702445,1.06,1.31,6.14728341,16.86,2.7645,0.188,1.7038897991217121,0.7882764195225003,1.5240897,1.5931345,0.49626128030828953,0.5037387196917104,True
2059,2059.02,K02059.02,0.38,5125,4739,0.786,0.76635003,0.74007916,0.71702445,0.59,0.73,2.18565886,7.88,1.966,0.394,1.376097357743889,1.990800745974662,1.5240897,1.5931345,0.5007827890621672,0.4992172109378327,True
2067,2067.01,K02067.01,1.62,6502,6289,1.292,0.963832,1.3774574,0.9549963,1.74,1.86,13.24503482,20.22,4.4078,0.498,0.6331002850287348,0.5729839374889143,0.63869065,1.0665903,0.5659726458516428,0.43402735414835736,True
2075,2075.01,K02075.01,0.1,6261,4079,1.123,0.574976,1.156045,0.50068223,1.34,4.03,2.053341891,2.03,2.596,0.966,0.026656359866647685,0.03939363527090792,0.816273,2.633983,0.9379901956820191,0.0620098043179808,True
2117,2117.01,K02117.01,0.33,4490,4021,0.658,0.569828,0.59262824,0.49508494,2.07,2.93,13.36019864,32.0,2.788,0.534,2.4663764695781762,2.982774042896107,2.080198,2.6757677,0.49853244216569226,0.5014675578343077,True
