KOI,KOIpl,kepoi_name,Sep,Teff1,Teff2,Rstar1,Rstar2,Mstar1_est,Mstar2_est,Rppri,Rpsec,koi_period,koi_dor,koi_duration,koi_impact,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec,usable
0442,442.02,,0.1,5817,5191,0.893,0.72333,0.86808914,0.6670688,1.34,1.75,,,,,,,1.2190175,1.76263,,,False
0442,442.03,,0.1,5817,5191,0.893,0.72333,0.86808914,0.6670688,1.51,1.98,,,,,,,1.2190175,1.76263,,,False
0443,443.01,,0.47,6485,3682,1.269,0.430191,1.3468742,0.3483988,2.13,9.76,,,,,,,0.65908605,4.376155,,,False
0472,472.01,,0.91,5878,5553,0.963,0.875367,0.9539659,0.84671587,5.26,6.0,,,,,,,1.0682034,1.2623134,,,False
0564,564.01,,0.09,6604,4859,1.341,0.74023193,1.4430652,0.68660945,2.4,4.89,,,,,,,0.59841114,1.6928027,,,False
0564,564.02,,0.09,6604,4859,1.341,0.74023193,1.4430652,0.68660945,7.04,14.34,,,,,,,0.59841114,1.6928027,,,False
0564,564.03,,0.09,6604,4859,1.341,0.74023193,1.4430652,0.68660945,1.58,3.23,,,,,,,0.59841114,1.6928027,,,False
0584,584.01,,1.83,5802,3567,0.942,0.36737996,0.9280334,0.28601864,2.63,10.85,,,,,,,1.1102248,5.7683015,,,False
0584,584.02,,1.83,5802,3567,0.942,0.36737996,0.9280334,0.28601864,2.51,10.36,,,,,,,1.1102248,5.7683015,,,False
0584,584.03,,1.83,5802,3567,0.942,0.36737996,0.9280334,0.28601864,1.09,4.52,,,,,,,1.1102248,5.7683015,,,False
0588,588.01,,0.28,4916,4059,0.741,0.586872,0.68750006,0.5136641,2.01,3.55,,,,,,,1.6897331,2.5412602,,,False
0605,605.01,,0.1,4656,4559,0.703,0.693861,0.6437158,0.63327247,3.1,3.3,,,,,,,1.8527983,1.8957155,,,False
0605,605.02,,0.1,4656,4559,0.703,0.693861,0.6437158,0.63327247,1.09,1.16,,,,,,,1.8527983,1.8957155,,,False
0635,635.01,,2.81,5928,5466,0.921,0.766272,0.9022451,0.7169332,2.54,3.03,,,,,,,1.1549033,1.5934184,,,False
0640,640.01,,0.44,5583,5439,0.867,0.855729,0.83661157,0.8230388,3.41,3.63,,,,,,,1.283709,1.3134441,,,False
0687,687.01,,0.7,6056,4593,1.028,0.67333996,1.0351217,0.6099483,2.07,4.08,,,,,,,0.9528226,1.9979739,,,False
0688,688.01,,1.7,6710,5645,1.335,0.79833,1.434999,0.7546196,3.23,4.64,,,,,,,0.60312563,1.4831351,,,False
0695,695.01,,1.96,5760,4002,0.877,0.527077,0.84869075,0.44909954,2.08,5.68,,,,,,,1.258203,3.0670466,,,False
0697,697.01,,0.67,6478,6467,1.288,1.282848,1.3721286,1.3652714,4.63,4.66,,,,,,,0.64216596,0.6466859,,,False
0750,750.01,K00750.01,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,2.64,4.96,21.67699193,24.6,3.4555,0.896,0.4256401165583388,0.6021250429361865,1.5692273,2.5661304,0.9488775777055951,0.05112242229440482,True
0750,750.02,K00750.02,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,1.06,1.99,5.04413987,16.78,1.623,0.727,2.494806644496823,3.3006381113128413,1.5692273,2.5661304,0.49027882278455825,0.5097211772154417,True
0750,750.03,K00750.03,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,1.3,2.43,14.516741,22.8,2.706,0.851,0.7556167005884472,1.0936557508517,1.5692273,2.5661304,0.7220766622693955,0.27792333773060457,True
0750,750.04,,0.05,5166,4140,0.773,0.583615,0.7248103,0.5101032,0.81,1.51,,,,,,,1.5692273,2.5661304,,,False
0841,841.01,K00841.01,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,5.4,17.87,15.33528675,21.65,3.897,0.773,0.5797291842045532,0.7310210960177507,1.4712783,5.81442,0.9999497194506027,5.0280549397268435e-05,True
0841,841.02,K00841.02,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,6.96,23.14,31.33046135,33.19,5.176,0.798,0.5004070747775929,0.36184904473221546,1.4712783,5.81442,0.9999981721569391,1.8278430609712563e-06,True
0841,841.03,K00841.03,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,2.35,7.73,6.54626149,14.52,2.75,0.644,0.9597285507301411,1.0112842166784544,1.4712783,5.81442,0.9984771124544038,0.0015228875455961357,True
0841,841.04,K00841.04,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,25.82,85.09,269.306232,48.6,14.931,1.219,0.02126430852058493,0.03189646278087739,1.4712783,5.81442,0.7084052501474014,0.2915947498525986,True
0841,841.05,K00841.05,1.98,5393,3616,0.802,0.365712,0.75895834,0.28439632,3.97,13.14,499.47338,210.0,12.248,0.793,0.4987334006076759,0.726725812314042,1.4712783,5.81442,0.9999606310518191,3.936894818083206e-05,True
0842,842.01,K00842.01,0.13,4752,3705,0.712,0.439304,0.6540335,0.35764852,2.5,5.48,12.71809866,29.5,3.0957,0.427,2.132342350703263,2.775659195491705,1.8120074,4.2185283,0.5651034617597113,0.4348965382402886,True
0842,842.02,K00842.02,0.13,4752,3705,0.712,0.439304,0.6540335,0.35764852,2.85,6.24,36.06588163,63.84,4.3246,0.26,2.687328717014013,1.2375855933617166,1.8120074,4.2185283,0.5910119746045357,0.40898802539546425,True
0984,984.01,K00984.01,1.74,5491,5403,0.792,0.74685603,0.74714774,0.6942983,2.23,2.31,4.28746668,19.94,1.5693,0.374,5.794409844183613,4.96912780017752,1.5039415,1.6666156,0.49304184592426054,0.5069581540757395,True
0987,987.01,K00987.01,1.97,5572,3714,0.865,0.45758498,0.8341999,0.37634808,1.16,3.75,3.179267286,23.67,1.0246,0.171,17.626900590092067,5.585202975314343,1.2889076,3.9280267,0.21440471271343264,0.7855952872865672,True
0991,991.01,K00991.01,0.23,5587,3629,0.856,0.38948002,0.8233646,0.3076851,1.61,5.71,12.06222962,42.0,2.0584,0.392,6.841131713534063,7.7207057909884425,1.3127164,5.2077594,0.4417541313386189,0.5582458686613812,True
1002,1002.01,K01002.01,0.3,5863,4714,0.964,0.70757604,0.9552043,0.6489577,1.22,2.08,3.4815917,14.843,1.8069,0.076,3.62447117046147,0.6102239072278659,1.0662651,1.8318802,0.009610477537692945,0.990389522462307,True
1061,1061.01,K01061.01,1.22,6367,5633,1.195,0.88908005,1.2494242,0.8633285,1.48,1.92,41.8059544,53.71,6.057,0.029,1.1910347590828272,0.23284053193762214,0.7321602,1.2284387,0.1707079712475594,0.8292920287524407,True
1101,1101.01,K01101.01,1.71,5068,3608,0.746,0.375984,0.6933037,0.29441622,1.62,4.64,11.39102358,26.9,2.303,0.732,2.0154248183804153,2.6972228052674705,1.6699637,5.5392838,0.6838103831071716,0.31618961689282843,True
1101,1101.02,,1.71,5068,3608,0.746,0.375984,0.6933037,0.29441622,1.84,5.27,,,,,,,1.6699637,5.5392838,,,False
1150,1150.01,K01150.01,0.4,6316,4888,1.173,0.74133605,1.2207382,0.6878899,1.1,2.0,0.677374687,2.8794,1.8361,0.132,0.6990099186726032,0.07144496043111313,0.75635993,1.6883931,0.9990675838268127,0.0009324161731872611,True
1151,1151.01,K01151.01,0.75,5592,3679,0.847,0.409948,0.8125578,0.32802802,1.22,4.12,10.43547031,23.3,3.4167,0.174,1.5605546190231754,0.5023244481834256,1.3372235,4.7612906,0.998686128908946,0.0013138710910539542,True
1151,1151.02,K01151.02,0.75,5592,3679,0.847,0.409948,0.8125578,0.32802802,0.94,3.17,7.41084314,17.6,3.245,0.064,1.3336381963619213,0.2273246925616911,1.3372235,4.7612906,0.999971262255251,2.8737744748963437e-05,True
1151,1151.03,K01151.03,0.75,5592,3679,0.847,0.409948,0.8125578,0.32802802,0.67,2.25,5.24970432,14.27,2.746,0.248,1.4165682279594003,0.8934207464355012,1.3372235,4.7612906,0.9862353740168814,0.013764625983118488,True
1151,1151.04,K01151.04,0.75,5592,3679,0.847,0.409948,0.8125578,0.32802802,0.76,2.56,17.4532945,31.2,4.027,0.357,1.3395046091467415,1.635741205400348,1.3372235,4.7612906,0.8626729522202643,0.13732704777973564,True
1151,1151.05,K01151.05,0.75,5592,3679,0.847,0.409948,0.8125578,0.32802802,0.8,2.69,21.7203362,37.4,4.252,0.311,1.4897623148581893,1.2666962997992093,1.3372235,4.7612906,0.9257832646871963,0.07421673531280358,True
1214,1214.01,K01214.01,0.34,5926,3911,0.995,0.520385,0.9937539,0.44198343,1.2,3.7,4.24153629,10.7,2.971,0.257,0.9148296310207417,0.5899368648638427,1.0088105,3.1364012,0.9869038477073481,0.01309615229265198,True
1261,1261.01,K01261.01,1.81,6335,5223,1.159,0.735965,1.2025533,0.6816657,10.13,15.58,133.460999,91.8,11.4997,0.249,0.5835184130639987,0.19641306060650937,0.7724208,1.7100152,0.9967831137120623,0.0032168862879377504,True
1261,1261.02,K01261.02,1.81,6335,5223,1.159,0.735965,1.2025533,0.6816657,3.36,5.16,15.19423359,17.65,3.106,0.906,0.31997186716102016,0.4731595316092139,0.7724208,1.7100152,0.9480362684011103,0.05196373159888974,True
1298,1298.01,K01298.01,0.73,4347,3325,0.624,0.254592,0.55460113,0.18084477,2.13,5.37,11.00817635,43.185,2.013,0.025,8.929009379726887,0.48506323966282916,2.282585,10.959019,1.2392445014868074e-27,1.0,True
1298,1298.02,K01298.02,0.73,4347,3325,0.624,0.254592,0.55460113,0.18084477,1.85,4.66,92.7495777,132.45,5.506,0.019,3.6288354047939766,0.4767212989310321,2.282585,10.959019,0.9985578945225464,0.001442105477453507,True
1300,1300.01,K01300.01,0.75,4952,3931,0.697,0.51090103,0.6368556,0.43193758,1.69,3.41,0.63133171,3.13,1.1487,0.726,1.0336013553160053,1.4860083383137457,1.8807999,3.2389977,0.6980587031081814,0.3019412968918186,True
1359,1359.01,K01359.01,1.41,5824,3824,0.943,0.48753104,0.9292651,0.40738294,3.08,9.96,37.1011418,48.5,5.5556,0.41,1.1134889948341078,1.2810863074586232,1.1081653,3.5155723,0.8180470929419034,0.18195290705809655,True
1359,1359.02,K01359.02,1.41,5824,3824,0.943,0.48753104,0.9292651,0.40738294,6.36,20.61,104.8205868,98.1,4.4794,0.918,1.1543808480389808,0.40244469931634197,1.1081653,3.5155723,0.9982197223700059,0.0017802776299940945,True
1361,1361.01,K01361.01,0.48,6203,3407,0.939,0.307053,0.92434055,0.22856866,3.17,6.28,59.8780258,98.43,4.8027,0.004,3.573409380940336,0.228715626332664,1.1164396,7.895446,2.984470649356944e-14,0.9999999999999701,True
1422,1422.01,K01422.01,0.22,3665,3371,0.414,0.276138,0.3320859,0.20017403,1.69,2.38,5.841636615,24.61,1.8734,0.026,5.868147608206203,1.2160728485108345,4.6800385,9.506686,0.8215188338408212,0.17848116615917875,True
1422,1422.02,K01422.02,0.22,3665,3371,0.414,0.276138,0.3320859,0.20017403,1.87,2.62,19.85029495,54.1,2.8407,0.217,5.3987489289485415,1.8261941848384158,4.6800385,9.506686,0.8182027263256391,0.18179727367436088,True
1422,1422.03,K01422.03,0.22,3665,3371,0.414,0.276138,0.3320859,0.20017403,1.39,1.96,10.8644095,30.8,1.853,0.763,3.3256394267143397,4.2110369364240015,4.6800385,9.506686,0.7142469427582359,0.2857530572417641,True
