KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
841,841.02,K00841.02,1.98,4.21,0.1,3.42,0.09,5393,97,120,0.802,0.024,0.021,3616,33,44,0.365712,0.456,0.007,0.008,0.75895834,0.28439632,6.96,0.86,0.83,23.14,2.75,2.81,31.33046135,3.977e-05,-3.977e-05,33.19,8.0,-8.0,5.176,0.102,-0.102,0.798,0.021,-0.043,5073.8,48.4,-48.4,0.5004070747775929,0.3618490447322154,1.4712783,5.81442,0.9999981721569392,1.8278430609712565e-06
841,841.03,K00841.03,1.98,4.21,0.1,3.42,0.09,5393,97,120,0.802,0.024,0.021,3616,33,44,0.365712,0.456,0.007,0.008,0.75895834,0.28439632,2.35,0.3,0.29,7.73,0.95,0.98,6.54626149,2.668e-05,-2.668e-05,14.52,5.1,-5.1,2.75,0.111,-0.111,0.644,0.295,-0.438,655.9,30.0,-30.0,0.9597285507301412,1.0112842166784544,1.4712783,5.81442,0.9984771124544038,0.0015228875455961
841,841.04,K00841.04,1.98,4.21,0.1,3.42,0.09,5393,97,120,0.802,0.024,0.021,3616,33,44,0.365712,0.456,0.007,0.008,0.75895834,0.28439632,25.82,3.16,3.06,85.09,10.1,10.29,269.306232,0.007251,-0.007251,48.6,24.3,-24.3,14.931,0.978,-0.978,1.219,69.55,-1.087,1708.0,109.0,-109.0,0.0212643085205849,0.0318964627808773,1.4712783,5.81442,0.7084052501474014,0.2915947498525986
841,841.05,K00841.05,1.98,4.21,0.1,3.42,0.09,5393,97,120,0.802,0.024,0.021,3616,33,44,0.365712,0.456,0.007,0.008,0.75895834,0.28439632,3.97,0.46,0.48,13.14,1.54,1.5,499.47338,0.01187,-0.01187,210.0,102.0,-102.0,12.248,0.575,-0.575,0.793,0.159,-0.56,1662.0,112.0,-112.0,0.4987334006076759,0.726725812314042,1.4712783,5.81442,0.9999606310518192,3.936894818083206e-05
842,842.01,K00842.01,0.13,,,1.66,0.0,4752,61,53,0.712,0.016,0.016,3705,22,19,0.439304,0.617,0.005,0.006,0.6540335,0.35764852,2.5,0.26,0.25,5.48,0.6,0.57,12.71809866,2.324e-05,-2.324e-05,29.5,12.8,-12.8,3.0957,0.0562,-0.0562,0.427,0.016,-0.427,1149.4,24.5,-24.5,2.132342350703263,2.775659195491705,1.8120074,4.2185283,0.5651034617597113,0.4348965382402886
842,842.02,K00842.02,0.13,,,1.66,0.0,4752,61,53,0.712,0.016,0.016,3705,22,19,0.439304,0.617,0.005,0.006,0.6540335,0.35764852,2.85,0.29,0.3,6.24,0.65,0.67,36.06588163,8.305e-05,-8.305e-05,63.84,9.8,-9.8,4.3246,0.0634,-0.0634,0.26,0.145,-0.26,1563.8,32.1,-32.1,2.687328717014013,1.2375855933617166,1.8120074,4.2185283,0.5910119746045357,0.4089880253954642
984,984.01,K00984.01,1.74,0.01,0.14,0.15,0.1,5491,39,38,0.792,0.007,0.007,5403,47,47,0.74685603,0.943,0.013,0.013,0.74714774,0.6942983,2.23,0.24,0.23,2.31,0.23,0.24,4.28746668,1.524e-05,-1.524e-05,19.94,5.7,-5.7,1.5693,0.0785,-0.0785,0.374,0.083,-0.374,790.1,49.7,-49.7,5.794409844183613,4.96912780017752,1.5039415,1.6666156,0.4930418459242605,0.5069581540757395
987,987.01,K00987.01,1.97,4.1,0.66,2.27,0.02,5572,35,35,0.865,0.006,0.006,3714,18,20,0.45758498,0.529,0.004,0.004,0.8341999,0.37634808,1.16,0.14,0.14,3.75,0.47,0.47,3.179267286,3.255e-06,-3.255e-06,23.67,2.5,-2.5,1.0246,0.0287,-0.0287,0.171,0.274,-0.171,200.9,6.0,-6.0,17.626900590092067,5.585202975314343,1.2889076,3.9280267,0.2144047127134326,0.7855952872865672
991,991.01,K00991.01,0.23,,,2.58,0.01,5587,47,44,0.856,0.009,0.009,3629,17,15,0.38948002,0.455,0.003,0.003,0.8233646,0.3076851,1.61,0.21,0.21,5.71,0.78,0.75,12.06222962,2.75e-05,-2.75e-05,42.0,15.8,-15.8,2.0584,0.0572,-0.0572,0.392,0.044,-0.392,300.2,10.8,-10.8,6.841131713534063,7.720705790988442,1.3127164,5.2077594,0.4417541313386189,0.5582458686613812
1002,1002.01,K01002.01,0.3,2.31,0.38,,,5863,77,78,0.964,0.035,0.035,4714,110,108,0.70757604,0.734,0.006,0.006,0.9552043,0.6489577,1.22,0.21,0.22,2.08,0.37,0.36,3.4815917,1.036e-05,-1.036e-05,14.843,0.833,-0.833,1.8069,0.0747,-0.0747,0.076,0.378,-0.076,135.2,6.8,-6.8,3.62447117046147,0.6102239072278659,1.0662651,1.8318802,0.0096104775376929,0.990389522462307
