KOIpl,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,Rpkep,e_Rpkep,Teqpri,E_Teqpri,e_Teqpri,Teqsec,E_Teqsec,e_Teqsec,Teqkep,Spri,E_Spri,e_Spri,Ssec,E_Ssec,e_Ssec,Skep,e_Skep,KOI,Simbad_x,_RA_x,_DE_x,NIRC2,Np,Sep,Date,rmag,SNR,dmi,e_dmi,dmLP600,e_dmLP600,dmGaia,e_dmGaia,dm562nm,e_dm562nm,dm692nm,e_dm692nm,dm880nm,e_dm880nm,dmJ,e_dmJ,dmK,e_dmK,Ref,Teff1,E_Teff1,e_Teff1,Teff2,E_Teff2,e_Teff2,Teffkep,e_Teffkep,Rstar1,E_Rstar1,e_Rstar1,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Rstarkep,e_Rstarkep,fcorr-p,E_fcorr-p,e_fcorr-p,fcorr-s,E_fcorr-s,e_fcorr-s,Source,K16,F17,Simbad_y,_RA_y,_DE_y,KOIpl_clean,kepoi_name,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_steff,koi_srad,koi_smass,Rstar2,Mstar1_est,Mstar2_est,rho_pri,rho_sec,rho_transit,rho_transit_fracerr,rho_transit_err,rho_pri_err,rho_sec_err,lnL_pri,lnL_sec,prior_pri,prior_sec,p_pri,p_sec,usable
1298.01,2.13,0.14,0.14,5.37,0.36,0.38,2.15,0.1,506,16,16,247,8,8,488,17.81,0.9,0.85,1.97,0.08,0.08,13.39,2.48,1298,Simbad,293.61372,47.83901,*,2,0.73,2022-08-04,15.82,86,,,,,,,,,,,,,,,2.77,0.02,"F17,K16",4347,37,37,3325,15,14,4141,83,0.624,0.009,0.009,0.408,0.004,0.004,0.64,0.03,0.98,0.05,0.04,2.49,0.14,0.13,1,1,1,Simbad,293.61372,47.83901,1298.01,K01298.01,11.00817635,1.701e-05,-1.701e-05,43.185,0.782,-0.782,2.013,0.0436,-0.0436,0.025,0.408,-0.025,1462.5,40.0,-40.0,4141.0,0.582,0.596,0.254592,0.55460113,0.18084477,2.282585,10.959019,8.929009379726887,0.054324418200764155,0.48506323966282916,0.34238774,1.6438528,-62.65672263085004,-0.7014270409510273,0.5,0.5,1.2392445014868074e-27,1.0,True
1298.02,1.85,0.12,0.12,4.66,0.3,0.3,1.87,0.08,249,9,8,122,4,4,240,1.04,0.05,0.05,0.12,0.0,0.0,0.78,0.15,1298,Simbad,293.61372,47.83901,*,2,0.73,2022-08-04,15.82,86,,,,,,,,,,,,,,,2.77,0.02,"F17,K16",4347,37,37,3325,15,14,4141,83,0.624,0.009,0.009,0.408,0.004,0.004,0.64,0.03,0.98,0.05,0.04,2.49,0.14,0.13,1,1,1,Simbad,293.61372,47.83901,1298.02,K01298.02,92.7495777,0.0006942,-0.0006942,132.45,5.8,-5.8,5.506,0.191,-0.191,0.019,0.422,-0.019,1105.1,65.1,-65.1,4141.0,0.582,0.596,0.254592,0.55460113,0.18084477,2.282585,10.959019,3.6288354047939766,0.13137032842582108,0.4767212989310321,0.34238774,1.6438528,-2.6305218286062764,-9.170729778449353,0.5,0.5,0.9985578945225464,0.001442105477453507,True
1300.01,1.69,0.17,0.18,3.41,0.35,0.37,1.2,0.09,1697,82,80,1152,54,55,1322,1641.18,106.59,108.38,423.92,27.45,28.81,726.72,212.51,1300,Simbad,291.5941,48.44557,*,1,0.75,2021-06-18,14.27,257,,,1.79,0.18,2.45,0.05,,,,,,,,,1.17,0.01,"F17,B16,K16",4952,57,56,3931,31,37,4441,133,0.697,0.014,0.014,0.733,0.006,0.006,0.53,0.038,1.4,0.11,0.1,2.82,0.24,0.2,2,1,1,Simbad,291.5941,48.44557,1300.01,K01300.01,0.63133171,3.41e-07,-3.41e-07,3.13,1.5,-1.5,1.1487,0.0186,-0.0186,0.726,0.002,-0.519,434.5,6.0,-6.0,4441.0,0.53,0.526,0.51090103,0.6368556,0.43193758,1.8807999,3.2389977,1.0336013553160053,1.4376996805111821,1.4860083383137457,0.28212,0.48584968,-0.1568628034188519,-0.9949333871915592,0.5,0.5,0.6980587031081814,0.3019412968918186,True
1359.01,3.08,0.85,0.84,9.96,2.75,2.75,3.19,0.88,526,19,19,249,9,9,532,19.19,1.3,1.28,1.48,0.1,0.1,18.95,15.73,1359,Simbad,291.02069,42.46245,*,2,1.41,2023-08-14,15.19,173,,,3.8,0.57,3.98,0.05,,,,,,,,,2.2,0.05,,5824,56,54,3824,29,30,5756,115,0.943,0.018,0.017,0.517,0.007,0.006,0.99,0.052,0.97,0.05,0.05,3.13,0.19,0.16,1,0,1,Simbad,291.02069,42.46245,1359.01,K01359.01,37.1011418,0.0001187,-0.0001187,48.5,18.6,-18.6,5.5556,0.0788,-0.0788,0.41,0.473,-0.225,1357.5,27.4,-27.4,5986.0,0.85,0.886,0.48753104,0.9292651,0.40738294,1.1081653,3.5155723,1.1134889948341078,1.150515463917526,1.2810863074586232,0.1662248,0.5273359,-8.491697952051864e-06,-1.503180496310616,0.5,0.5,0.8180470929419034,0.18195290705809655,True
1359.02,6.36,1.75,1.8,20.61,5.62,5.8,6.45,1.78,372,13,13,176,6,6,376,4.8,0.33,0.32,0.37,0.02,0.02,4.74,3.94,1359,Simbad,291.02069,42.46245,*,2,1.41,2023-08-14,15.19,173,,,3.8,0.57,3.98,0.05,,,,,,,,,2.2,0.05,,5824,56,54,3824,29,30,5756,115,0.943,0.018,0.017,0.517,0.007,0.006,0.99,0.052,0.97,0.05,0.05,3.13,0.19,0.16,1,0,1,Simbad,291.02069,42.46245,1359.02,K01359.02,104.8205868,0.0002329,-0.0002329,98.1,11.4,-11.4,4.4794,0.0878,-0.0878,0.918,0.006,-0.01,3920.1,75.6,-75.6,5986.0,0.85,0.886,0.48753104,0.9292651,0.40738294,1.1081653,3.5155723,1.1543808480389808,0.3486238532110092,0.40244469931634197,0.1662248,0.5273359,-0.005632820731578873,-6.334836911457755,0.5,0.5,0.9982197223700059,0.0017802776299940945,True
1361.01,3.17,0.99,0.94,6.28,2.49,2.44,2.19,0.08,434,137,135,204,69,62,273,15.63,9.16,13.88,2.67,2.37,2.44,1.31,0.22,1361,Simbad,295.30451,42.47527,*,1,0.48,2022-08-06,14.96,137,,,,,3.04,0.05,,,,,,,2.87,0.03,2.87,0.01,"F17,K16",6203,305,1904,3407,1799,50,4017,80,0.939,0.294,0.25,0.327,0.066,0.008,0.678,0.02,1.39,0.48,0.37,2.59,1.41,0.85,1,1,1,Simbad,295.30451,42.47527,1361.01,K01361.01,59.8780258,0.0001502,-0.0001502,98.43,2.1,-2.1,4.8027,0.0705,-0.0705,0.004,0.411,-0.004,1419.1,32.3,-32.3,4016.0,0.599,0.595,0.307053,0.92434055,0.22856866,1.1164396,7.895446,3.573409380940336,0.06400487656202378,0.228715626332664,0.16746594,1.1843169,-37.562377325048416,-6.419608417351479,0.5,0.5,2.984470649356944e-14,0.9999999999999701,True
1422.01,1.69,0.29,0.3,2.38,0.43,0.44,1.38,0.17,485,33,33,364,24,24,446,11.82,0.58,0.58,5.2,0.29,0.28,9.38,3.49,1422,Simbad,286.54001,49.43733,*,5,0.22,2021-06-23,16.09,105,,,,,,,,,1.72,0.15,1.62,0.15,1.1,0.04,1.14,0.04,"F17,K16",3665,21,19,3371,21,20,3526,71,0.414,0.012,0.013,0.667,0.007,0.007,0.383,0.048,1.2,0.17,0.13,1.69,0.25,0.19,2,1,1,Simbad,286.54001,49.43733,1422.01,K01422.01,5.841636615,9.841e-06,-9.841e-06,24.61,1.7,-1.7,1.8734,0.0467,-0.0467,0.026,0.405,-0.026,1336.3,37.0,-37.0,3526.0,0.383,0.394,0.276138,0.3320859,0.20017403,4.6800385,9.506686,5.868147608206203,0.20723283218203983,1.2160728485108345,0.7020058,1.426003,-0.3579759872485596,-1.884647766683889,0.5,0.5,0.8215188338408212,0.17848116615917875,True
1422.02,1.87,0.32,0.33,2.62,0.47,0.48,1.52,0.19,323,21,21,243,16,16,297,2.31,0.11,0.11,1.02,0.06,0.05,1.83,0.68,1422,Simbad,286.54001,49.43733,*,5,0.22,2021-06-23,16.09,105,,,,,,,,,1.72,0.15,1.62,0.15,1.1,0.04,1.14,0.04,"F17,K16",3665,21,19,3371,21,20,3526,71,0.414,0.012,0.013,0.667,0.007,0.007,0.383,0.048,1.2,0.17,0.13,1.69,0.25,0.19,2,1,1,Simbad,286.54001,49.43733,1422.02,K01422.02,19.85029495,5.525e-05,-5.525e-05,54.1,6.1,-6.1,2.8407,0.0741,-0.0741,0.217,0.245,-0.217,1607.5,50.7,-50.7,3526.0,0.383,0.394,0.276138,0.3320859,0.20017403,4.6800385,9.506686,5.3987489289485415,0.3382624768946395,1.8261941848384158,0.7020058,1.426003,-0.06747284420132967,-1.571690796452522,0.5,0.5,0.8182027263256391,0.18179727367436088,True
1422.03,1.39,0.26,0.25,1.96,0.34,0.36,1.14,0.15,395,29,28,297,21,21,363,5.17,0.25,0.25,2.27,0.12,0.12,4.09,1.53,1422,Simbad,286.54001,49.43733,*,5,0.22,2021-06-23,16.09,105,,,,,,,,,1.72,0.15,1.62,0.15,1.1,0.04,1.14,0.04,"F17,K16",3665,21,19,3371,21,20,3526,71,0.414,0.012,0.013,0.667,0.007,0.007,0.383,0.048,1.2,0.17,0.13,1.69,0.25,0.19,2,1,1,Simbad,286.54001,49.43733,1422.03,K01422.03,10.8644095,4.884e-05,-4.884e-05,30.8,13.0,-13.0,1.853,0.119,-0.119,0.763,0.015,-0.551,748.7,51.4,-51.4,3526.0,0.383,0.394,0.276138,0.3320859,0.20017403,4.6800385,9.506686,3.3256394267143397,1.2662337662337662,4.2110369364240015,0.7020058,1.426003,-0.05032460571167689,-0.9664253648344268,0.5,0.5,0.7142469427582359,0.2857530572417641,True
1422.04,1.44,0.25,0.26,2.03,0.35,0.38,1.18,0.15,220,15,15,166,11,11,202,0.49,0.02,0.02,0.22,0.01,0.01,0.39,0.15,1422,Simbad,286.54001,49.43733,*,5,0.22,2021-06-23,16.09,105,,,,,,,,,1.72,0.15,1.62,0.15,1.1,0.04,1.14,0.04,"F17,K16",3665,21,19,3371,21,20,3526,71,0.414,0.012,0.013,0.667,0.007,0.007,0.383,0.048,1.2,0.17,0.13,1.69,0.25,0.19,2,1,1,Simbad,286.54001,49.43733,1422.04,K01422.04,63.3354719,0.000927,-0.000927,136.2,15.7,-15.7,3.651,0.251,-0.251,0.029,0.422,-0.029,983.0,83.8,-83.8,3526.0,0.383,0.394,0.276138,0.3320859,0.20017403,4.6800385,9.506686,8.461991119947799,0.3458149779735683,2.9262832727572787,0.7020058,1.426003,-0.7897113157406839,-0.05149698736963045,0.5,0.5,0.32339474432965676,0.6766052556703432,True
1422.05,1.29,0.23,0.24,1.81,0.31,0.31,1.06,0.13,270,17,18,203,13,14,248,1.12,0.06,0.05,0.49,0.03,0.03,0.89,0.33,1422,Simbad,286.54001,49.43733,*,5,0.22,2021-06-23,16.09,105,,,,,,,,,1.72,0.15,1.62,0.15,1.1,0.04,1.14,0.04,"F17,K16",3665,21,19,3371,21,20,3526,71,0.414,0.012,0.013,0.667,0.007,0.007,0.383,0.048,1.2,0.17,0.13,1.69,0.25,0.19,2,1,1,Simbad,286.54001,49.43733,1422.05,K01422.05,34.1420506,0.0002289,-0.0002289,90.33,5.5,-5.5,2.945,0.179,-0.179,0.105,0.334,-0.105,788.0,63.1,-63.1,3526.0,0.383,0.394,0.276138,0.3320859,0.20017403,4.6800385,9.506686,8.49477912974258,0.18266356692128863,1.5516866560473,0.7020058,1.426003,-2.5085377548759,-0.11527878341985462,0.5,0.5,0.08368818009601757,0.9163118199039825,True
1436.01,1.22,0.34,0.34,4.92,1.42,1.38,1.28,0.36,1278,41,42,502,17,17,1278,643.29,34.54,35.61,28.57,1.57,1.66,629.8,515.07,1436,Simbad,283.98291,49.23298,*,3,0.15,2023-07-06,14.23,208,,,,,,,,,,,,,,,2.9,0.05,,5763,42,45,3578,20,20,5656,113,0.918,0.011,0.011,0.4,0.008,0.007,0.955,0.043,0.97,0.04,0.04,3.88,0.2,0.19,1,1,1,Simbad,283.98291,49.23298,1436.01,K01436.01,2.508553286,7.668e-06,-7.668e-06,8.587,0.607,-0.607,2.2664,0.0736,-0.0736,0.009,0.448,-0.009,211.6,9.0,-9.0,5814.0,0.881,0.944,0.3672,0.8985729,0.2858435,1.1615163,5.7732496,1.3518017098618287,0.21206474903924538,0.2866694903526715,0.17422745,0.8659875,-0.16087733759864653,-11.746712850463659,0.5,0.5,0.9999907032418971,9.296758102869792e-06,True
1436.02,1.6,0.44,0.45,6.42,1.79,1.82,1.66,0.47,725,23,23,285,9,9,725,66.56,3.57,3.68,2.96,0.16,0.17,65.24,53.35,1436,Simbad,283.98291,49.23298,*,3,0.15,2023-07-06,14.23,208,,,,,,,,,,,,,,,2.9,0.05,,5763,42,45,3578,20,20,5656,113,0.918,0.011,0.011,0.4,0.008,0.007,0.955,0.043,0.97,0.04,0.04,3.88,0.2,0.19,1,1,1,Simbad,283.98291,49.23298,1436.02,K01436.02,13.75129636,6.486e-05,-6.486e-05,25.96,7.7,-7.7,3.853,0.104,-0.104,0.359,0.092,-0.359,348.5,15.0,-15.0,5814.0,0.881,0.944,0.3672,0.8985729,0.2858435,1.1615163,5.7732496,1.242974001017768,0.8898305084745762,1.106036187346319,0.17422745,0.8659875,-0.002646369857894316,-5.200403765384664,0.5,0.5,0.9945014514235736,0.0054985485764263075,True
1436.03,1.34,0.38,0.37,5.38,1.55,1.49,1.38,0.39,990,32,32,389,13,13,989,230.36,12.37,12.75,10.23,0.56,0.6,225.71,184.59,1436,Simbad,283.98291,49.23298,*,3,0.15,2023-07-06,14.23,208,,,,,,,,,,,,,,,2.9,0.05,,5763,42,45,3578,20,20,5656,113,0.918,0.011,0.011,0.4,0.008,0.007,0.955,0.043,0.97,0.04,0.04,3.88,0.2,0.19,1,1,1,Simbad,283.98291,49.23298,1436.03,K01436.03,5.41908491,2.176e-05,-2.176e-05,15.26,4.3,-4.3,2.3379,0.0867,-0.0867,0.536,0.396,-0.33,231.0,12.4,-12.4,5814.0,0.881,0.944,0.3672,0.8985729,0.2858435,1.1615163,5.7732496,1.6257245088796994,0.8453473132372213,1.374301845645355,0.17422745,0.8659875,-0.05614445794500831,-3.259627192367705,0.5,0.5,0.9609651285165293,0.039034871483470755,True
1491.01,1.96,0.43,0.42,2.43,0.51,0.51,2.15,0.4,969,59,58,838,51,51,1097,309.25,21.43,21.62,189.21,18.18,17.43,342.76,206.87,1491,Simbad,297.77929,46.49273,*,1,0.05,2023-06-25,15.24,145,,,,,,,,,,,,,,,0.36,0.01,F17,5398,58,61,4936,83,80,5256,184,0.806,0.02,0.017,0.894,0.007,0.007,1.103,0.101,0.9,0.1,0.09,1.13,0.12,0.1,1,0,1,Simbad,297.77929,46.49273,1491.01,,,,,,,,,,,,,,,,,,,,0.720564,0.763693,0.6638817,1.4585243,1.7744877,,,,0.21877865,0.26617318,,,0.5,0.5,,,False
1506.01,3.02,0.82,0.83,10.05,2.8,2.75,2.92,0.79,505,26,27,234,12,12,494,17.62,1.01,1.0,1.27,0.07,0.07,14.08,10.99,1506,Simbad,289.42459,50.99411,*,1,1.15,2022-10-01,14.93,144,,,,,4.17,0.05,,,,,,,,,2.24,0.01,,5848,48,45,3805,25,23,5814,203,0.938,0.015,0.016,0.509,0.004,0.004,0.92,0.072,1.03,0.09,0.08,3.42,0.31,0.26,1,0,1,Simbad,289.42459,50.99411,1506.01,K01506.01,40.4286676,0.0001805,-0.0001805,24.0,11.3,-11.3,7.102,0.179,-0.179,0.872,0.054,-0.618,916.1,25.1,-25.1,5813.0,0.833,0.925,0.47744203,0.92311025,0.3968723,1.1185232,3.6466062,0.11362924784064665,1.4125,0.1605013125749134,0.16777849,0.54699093,-9.3656691639693,-19.205342127442822,0.5,0.5,0.999946708102583,5.3291897417011954e-05,True
1521.01,1.76,0.18,0.18,2.44,0.26,0.27,1.95,0.16,454,18,18,372,15,15,501,18.07,1.25,1.2,9.03,0.78,0.77,14.85,3.69,1521,Simbad,285.29622,46.60342,*,1,0.06,2023-06-27,14.77,180,,,,,,,,,,,,,,,0.48,0.03,F17,5374,62,60,4732,77,75,5170,103,0.814,0.017,0.015,0.864,0.01,0.009,1.071,0.069,0.9,0.06,0.06,1.24,0.09,0.08,1,0,1,Simbad,285.29622,46.60342,1521.01,K01521.01,25.9421582,0.0001126,-0.0001126,41.4,16.8,-16.8,4.045,0.104,-0.104,0.577,0.295,-0.372,569.7,20.3,-20.3,5167.0,0.796,0.891,0.703296,0.7731798,0.6440546,1.4335315,1.851434,1.4165244677611508,1.2173913043478262,1.7244645694483576,0.21502973,0.27771512,-4.788715276133614e-05,-0.030998404252715658,0.5,0.5,0.5077370116556442,0.49226298834435583,True
1531.01,1.36,0.27,0.27,2.43,0.49,0.48,1.16,0.16,1096,84,82,698,55,55,964,328.03,31.78,29.68,73.82,8.99,8.24,204.18,78.82,1531,Simbad,292.58439,49.92315,*,1,0.38,2021-11-11,13.02,386,,,0.9,0.16,,,,,2.02,0.25,1.81,0.23,,,1.23,0.0,"F17,B16",6089,72,76,4798,103,103,5646,101,1.021,0.038,0.038,0.654,0.005,0.005,0.932,0.127,1.17,0.19,0.15,2.07,0.36,0.28,2,0,1,Simbad,292.58439,49.92315,1531.01,K01531.01,5.69919592,1.367e-05,-1.367e-05,18.429,0.983,-0.983,2.3906,0.0603,-0.0603,0.007,0.444,-0.007,159.4,5.3,-5.3,5646.0,0.932,0.986,0.667734,1.0263186,0.6036072,0.9642839,2.0274208,2.5888888219523105,0.16001953442943187,0.4142727839783691,0.14464259,0.30411312,-6.853885770987846,-0.5968162747808256,0.5,0.5,0.0019131876213465816,0.9980868123786534,True
1589.01,3.44,0.77,0.78,4.22,0.91,0.94,2.86,0.45,1011,85,82,815,67,68,985,225.06,27.65,26.83,107.34,14.64,15.2,222.19,98.84,1589,Simbad,298.25202,40.4961,*,5,0.18,2021-06-19,14.72,184,,,,,,,,,,,,,,,0.63,0.02,"F17,K16",6228,96,90,5647,123,112,6036,120,1.108,0.049,0.047,0.791,0.006,0.006,1.131,0.176,1.16,0.22,0.16,1.44,0.28,0.21,2,1,1,Simbad,298.25202,40.4961,1589.01,K01589.01,8.72585478,2.992e-05,-2.992e-05,7.0,3.3,-3.3,4.473,0.0658,-0.0658,0.911,0.004,-0.63,446.7,12.8,-12.8,6036.0,1.131,0.987,0.87642807,1.1367755,0.84799904,0.8357095,1.2596402,0.06052202102747515,1.4142857142857141,0.0855954297388577,0.12535644,0.18894604,-13.040243879657437,-16.7090241983256,0.5,0.5,0.9751268903106279,0.02487310968937206,True
1589.02,3.8,0.84,0.83,4.64,1.02,1.04,3.15,0.49,892,78,78,719,63,62,865,133.87,16.44,15.96,63.85,8.71,9.04,132.23,58.83,1589,Simbad,298.25202,40.4961,*,5,0.18,2021-06-19,14.72,184,,,,,,,,,,,,,,,0.63,0.02,"F17,K16",6228,96,90,5647,123,112,6036,120,1.108,0.049,0.047,0.791,0.006,0.006,1.131,0.176,1.16,0.22,0.16,1.44,0.28,0.21,2,1,1,Simbad,298.25202,40.4961,1589.02,K01589.02,12.88291395,6.888e-05,-6.888e-05,6.24,3.1,-3.1,5.676,0.59,-0.59,0.962,0.048,-0.565,460.5,18.9,-18.9,6036.0,1.131,0.987,0.87642807,1.1367755,0.84799904,0.8357095,1.2596402,0.019668028144307445,1.4903846153846154,0.029312926561227443,0.12535644,0.18894604,-20.090034575441802,-21.027588260147812,0.5,0.5,0.7186052483763574,0.28139475162364264,True
1589.03,3.06,0.68,0.68,3.79,0.83,0.82,2.56,0.4,690,56,58,557,46,47,672,48.86,6.0,5.83,23.3,3.18,3.3,48.29,21.48,1589,Simbad,298.25202,40.4961,*,5,0.18,2021-06-19,14.72,184,,,,,,,,,,,,,,,0.63,0.02,"F17,K16",6228,96,90,5647,123,112,6036,120,1.108,0.049,0.047,0.791,0.006,0.006,1.131,0.176,1.16,0.22,0.16,1.44,0.28,0.21,2,1,1,Simbad,298.25202,40.4961,1589.03,K01589.03,27.4345973,0.0001317,-0.0001317,34.3,13.2,-13.2,5.038,0.121,-0.121,0.603,0.022,-0.462,472.6,19.4,-19.4,6036.0,1.131,0.987,0.87642807,1.1367755,0.84799904,0.8357095,1.2596402,0.720311659398636,1.1545189504373177,0.8316134609966759,0.12535644,0.18894604,-0.009413795497292574,-0.19997433712305232,0.5,0.5,0.5474964927079746,0.45250350729202543,True
1589.04,1.91,0.43,0.42,2.37,0.53,0.53,1.6,0.25,1296,109,111,1045,93,93,1254,592.02,72.72,70.58,282.36,38.52,39.98,584.24,259.9,1589,Simbad,298.25202,40.4961,*,5,0.18,2021-06-19,14.72,184,,,,,,,,,,,,,,,0.63,0.02,"F17,K16",6228,96,90,5647,123,112,6036,120,1.108,0.049,0.047,0.791,0.006,0.006,1.131,0.176,1.16,0.22,0.16,1.44,0.28,0.21,2,1,1,Simbad,298.25202,40.4961,1589.04,K01589.04,4.22453631,2.22e-05,-2.22e-05,6.15,2.7,-2.7,3.128,0.119,-0.119,0.823,0.125,-0.563,159.1,10.3,-10.3,6036.0,1.131,0.987,0.87642807,1.1367755,0.84799904,0.8357095,1.2596402,0.17510660053192015,1.3170731707317074,0.23062820557862654,0.12535644,0.18894604,-3.166715356461861,-6.616118321289459,0.5,0.5,0.9692133307894983,0.030786669210501605,True
1589.05,2.72,0.6,0.59,3.39,0.77,0.78,2.29,0.35,590,50,51,476,42,42,572,25.6,3.14,3.05,12.21,1.67,1.73,25.3,11.25,1589,Simbad,298.25202,40.4961,*,5,0.18,2021-06-19,14.72,184,,,,,,,,,,,,,,,0.63,0.02,"F17,K16",6228,96,90,5647,123,112,6036,120,1.108,0.049,0.047,0.791,0.006,0.006,1.131,0.176,1.16,0.22,0.16,1.44,0.28,0.21,2,1,1,Simbad,298.25202,40.4961,1589.05,K01589.05,44.5520266,0.0004531,-0.0004531,42.6,20.4,-20.4,6.0,0.212,-0.212,0.689,0.253,-0.454,362.1,22.5,-22.5,6036.0,1.131,0.987,0.87642807,1.1367755,0.84799904,0.8357095,1.2596402,0.5232739717166957,1.436619718309859,0.7517457058465205,0.12535644,0.18894604,-0.08403059861557549,-0.45124434266216434,0.5,0.5,0.5907855495913037,0.4092144504086963,True
1613.01,1.53,0.11,0.11,2.04,0.16,0.16,1.31,0.06,979,35,35,711,29,28,879,180.02,21.67,19.68,59.56,8.59,8.48,141.18,19.99,1613,Simbad,285.4766,41.63275,*,3,0.21,2021-09-22,11.17,327,1.3,0.22,,,,,,,1.27,0.16,1.26,0.26,,,1.01,0.28,"F17,K16",6676,124,82,5813,122,107,6099,79,1.345,0.062,0.052,0.698,0.021,0.021,1.308,0.054,1.16,0.07,0.06,1.55,0.1,0.09,2,1,1,Simbad,285.4766,41.63275,1613.01,,,,,,,,,,,,,,,,,,,,0.93881005,1.4484478,0.9241068,0.59530014,1.1168349,,,,0.08929502,0.16752523,,,0.5,0.5,,,False
1613.02,1.05,0.08,0.08,1.4,0.11,0.11,0.9,0.04,542,19,19,393,16,16,486,16.77,2.02,1.83,5.55,0.8,0.79,13.14,1.86,1613,Simbad,285.4766,41.63275,*,3,0.21,2021-09-22,11.17,327,1.3,0.22,,,,,,,1.27,0.16,1.26,0.26,,,1.01,0.28,"F17,K16",6676,124,82,5813,122,107,6099,79,1.345,0.062,0.052,0.698,0.021,0.021,1.308,0.054,1.16,0.07,0.06,1.55,0.1,0.09,2,1,1,Simbad,285.4766,41.63275,1613.02,,,,,,,,,,,,,,,,,,,,0.93881005,1.4484478,0.9241068,0.59530014,1.1168349,,,,0.08929502,0.16752523,,,0.5,0.5,,,False
1613.03,0.99,0.07,0.07,1.32,0.1,0.1,0.85,0.04,899,32,32,653,27,27,806,127.05,15.3,13.89,42.04,6.06,5.98,99.53,14.09,1613,Simbad,285.4766,41.63275,*,3,0.21,2021-09-22,11.17,327,1.3,0.22,,,,,,,1.27,0.16,1.26,0.26,,,1.01,0.28,"F17,K16",6676,124,82,5813,122,107,6099,79,1.345,0.062,0.052,0.698,0.021,0.021,1.308,0.054,1.16,0.07,0.06,1.55,0.1,0.09,2,1,1,Simbad,285.4766,41.63275,1613.03,,,,,,,,,,,,,,,,,,,,0.93881005,1.4484478,0.9241068,0.59530014,1.1168349,,,,0.08929502,0.16752523,,,0.5,0.5,,,False
1630.01,0.88,0.26,0.26,1.13,0.32,0.34,1.4,0.39,574,44,42,465,35,34,744,127.23,13.01,12.64,57.01,4.56,4.36,72.67,58.79,1630,Simbad,290.2597,45.38844,*,1,1.68,2021-09-28,15.11,189,,,,,0.99,0.05,,,,,,,,,0.55,0.01,,6065,73,77,5410,63,70,5701,200,1.069,0.039,0.037,0.827,0.004,0.004,2.056,0.246,0.62,0.09,0.07,0.79,0.11,0.08,1,0,1,Simbad,290.2597,45.38844,1630.01,,,,,,,,,,,,,,,,,,,,0.884063,1.0869814,0.8572431,0.88979304,1.2406645,,,,0.13346896,0.18609968,,,0.5,0.5,,,False
1648.01,2.79,0.25,0.26,4.16,0.39,0.4,2.43,0.15,529,21,21,401,17,17,480,16.33,1.62,1.59,6.27,0.74,0.72,12.56,2.47,1648,Simbad,284.13264,48.82512,*,1,0.15,2023-07-03,14.23,228,,,,,,,,,,,,,,,0.7,0.01,F17,5727,82,79,4866,103,101,5229,78,0.91,0.034,0.032,0.797,0.006,0.006,0.903,0.056,1.14,0.09,0.08,1.71,0.14,0.12,2,0,1,Simbad,284.13264,48.82512,1648.01,K01648.01,38.3262237,0.000273,-0.000273,33.3,16.7,-16.7,3.073,0.123,-0.123,0.963,0.001,-0.698,392.1,30.2,-30.2,5229.0,0.903,0.821,0.72527003,0.8887953,0.6693059,1.1794446,1.7543873,0.33773487142922937,1.5045045045045047,0.5081236353935253,0.17691669,0.2631581,-1.223664508183258,-3.0645199465157904,0.5,0.5,0.8630498471988778,0.1369501528011222,True
1656.01,3.85,0.9,0.95,6.31,1.47,1.56,3.62,0.63,604,53,54,381,33,35,570,29.47,4.22,4.27,5.91,0.78,0.74,24.98,11.29,1656,Simbad,293.6259,39.50634,*,1,1.06,2022-10-14,14.99,123,,,1.65,0.09,2.23,0.05,,,,,,,,,,,F17,6485,116,116,5175,126,122,6074,81,1.245,0.067,0.063,0.626,0.016,0.015,1.292,0.224,1.03,0.22,0.15,1.71,0.35,0.26,2,0,1,Simbad,293.6259,39.50634,1656.01,K01656.01,51.3901452,0.0006219,-0.0006219,26.0,12.9,-12.9,5.995,0.213,-0.213,0.946,0.002,-0.654,494.0,37.6,-37.6,6074.0,1.292,1.173,0.77937,1.3151088,0.7322841,0.68148077,1.5468513,0.08941196066393761,1.4884615384615385,0.13308626452670713,0.10222212,0.2320277,-6.22388300407174,-14.843918977000799,0.5,0.5,0.9998195787945516,0.00018042120544839674,True
